Meses,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
5058,15606386,Wang,753,Germany,Female,46,3,111512.75,3,1,0,159576.75,1
5059,15682322,Aksenov,714,France,Male,37,9,148466.93,2,0,1,151280.96,0
5060,15579915,Glennon,707,France,Male,29,4,0,2,1,0,139953.94,0
5061,15681928,Yancy,577,France,Female,35,4,108155.49,1,1,0,105407.79,0
5062,15734005,Mazzi,633,France,Female,42,1,0,2,1,0,56865.62,0
5063,15650432,Liu,849,Germany,Male,41,10,84622.13,1,1,1,198072.16,0
5064,15592578,Nucci,614,Spain,Female,41,7,146997.64,2,0,0,137791.18,0
5065,15671243,Y?,558,France,Female,47,9,0,2,1,0,103787.28,0
5066,15775709,Nucci,832,France,Female,27,10,98590.25,1,1,0,30912.89,0
5067,15702631,Tang,567,France,Female,26,2,0,2,1,1,78651.55,0
5068,15602282,Kao,587,Germany,Female,45,8,134980.74,1,1,1,123309.57,1
5069,15717879,Chen,712,Spain,Female,79,5,108078.56,1,1,1,174118.93,0
5070,15740878,Yao,655,Spain,Female,29,9,0,2,0,1,85736.26,0
5071,15794468,Tsou,641,France,Female,42,6,0,2,0,0,121138.77,0
5072,15773277,Barnes,676,France,Male,35,5,106836.67,2,1,0,84199.78,0
5073,15572657,H?,472,France,Male,29,8,102490.27,1,0,1,181224.56,0
5074,15800295,Cruz,644,Germany,Male,34,9,112746.54,2,0,0,141230.07,0
5075,15672397,Smith,598,France,Male,38,0,125487.89,1,0,0,158111.71,0
5076,15684921,Onuchukwu,792,Spain,Male,25,8,142862.21,1,1,1,130639.01,0
5077,15720676,Bukowski,700,France,Female,37,7,0,2,1,0,17040.82,0
5078,15731829,Simmons,616,France,Male,34,10,0,2,1,0,25662.27,0
5079,15732672,Stewart,743,Spain,Male,35,6,79388.33,1,1,1,193360.69,0
5080,15692406,Gow,427,France,Male,37,5,0,2,1,1,121485.1,0
5081,15764405,Williams,731,France,Male,29,10,0,2,1,1,162452.65,0
5082,15757537,Francis,610,France,Female,31,6,107784.65,1,1,1,141137.53,0
5083,15793307,Calabresi,724,Spain,Female,41,4,142880.28,3,0,0,185541.2,1
5084,15660679,Chimaobim,653,Spain,Female,38,9,149571.94,1,1,0,118383.18,0
5085,15666856,Chikwendu,774,France,Male,49,1,142767.39,1,1,1,8214.41,0
5086,15687372,Padovesi,547,Germany,Male,49,8,121537.71,2,1,0,46521.45,1
5087,15667289,Henderson,719,Spain,Male,50,2,0,2,0,0,10772.13,0
5088,15624641,Kharlamova,740,Spain,Male,43,9,0,1,1,0,199290.68,1















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































9812,15772421,Tretiakov,645,Germany,Female,31,1,128927.93,1,1,1,2850.01,0
